fips,county,state,uninsured_population,total_population,hospital_count
06083,Santa Barbara,CA,1092,5449,0
06087,Santa Cruz,CA,252,3980,0
06095,Solano,CA,23167,192017,2
06101,Sutter,CA,2246,23029,0
06103,Tehama,CA,21327,242822,5
06109,Tuolumne,CA,3551,30808,0
06009,Calaveras,CA,4602,39396,0
06013,Contra Costa,CA,7358,76139,2
06015,Del Norte,CA,2836,28936,1
02013,Aleutians East,AK,2918,17350,0
13149,Heard,GA,26414,128502,2
20059,Franklin,KS,886,10205,0
06025,Imperial,CA,23727,202514,5
06029,Kern,CA,16135,168297,2
06031,Kings,CA,3627,28219,0
06039,Madera,CA,873,12200,0
13067,Cobb,GA,2326,10822,0
13069,Coffee,GA,50562,293582,6
13073,Columbia,GA,3311,14617,0
13077,Coweta,GA,6923,35608,1
13081,Crisp,GA,4829,34807,1
13087,Decatur,GA,7064,33976,0
13093,Dooly,GA,3056,18258,0
13095,Dougherty,GA,16613,73986,1
13101,Echols,GA,737,4340,0
13103,Effingham,GA,5978,37879,1
13109,Evans,GA,3697,30196,1
13115,Floyd,GA,2766,26135,0
13119,Franklin,GA,5163,29964,1
08061,Kiowa,CO,17032,102235,1
08063,Kit Carson,CO,5549,56543,2
08069,Larimer,CO,4968,32198,0
12089,Nassau,FL,3463,16400,0
12091,Okaloosa,FL,5592,46574,1
12097,Osceola,FL,4865,23578,0
12099,Palm Beach,FL,3605,35667,0
12101,Pasco,FL,8074,52315,1
12107,Putnam,FL,10308,45164,1
12109,St. Johns,FL,4101,20296,0
12113,Santa Rosa,FL,2492,13014,0
12115,Sarasota,FL,2630,14313,0
12117,Seminole,FL,53882,253958,5
12127,Volusia,FL,6411,48509,1
12131,Walton,FL,3516,14185,0
13003,Atkinson,GA,15396,140464,4
13005,Bacon,GA,10031,48523,0
13009,Baldwin,GA,6480,49750,0
13015,Bartow,GA,7501,71414,1
13023,Bleckley,GA,3890,31019,1
13025,Brantley,GA,11532,72405,1
13031,Bulloch,GA,3767,34161,1
13037,Calhoun,GA,574,2194,0
13049,Charlton,GA,9343,39020,0
13053,Chattahoochee,GA,1536,12971,0
13057,Cherokee,GA,27651,135463,1
13063,Clayton,GA,11178,52329,0
09013,Tolland,CT,1402,25410,1
10005,Sussex,DE,4343,47712,0
11001,District of Columbia,DC,2151,30770,0
12003,Baker,FL,24822,162205,2
12005,Bay,FL,6237,29656,0
12011,Broward,FL,2272,13944,0
12015,Charlotte,FL,16738,87145,1
12071,Lee,FL,5601,32504,0
12079,Madison,FL,2993,10125,0
12081,Manatee,FL,3099,16622,0
02275,Wrangell,AK,17541,96854,2
08085,Montrose,CO,1391,14800,0
12017,Citrus,FL,2322,22822,0
12029,Dixie,FL,7306,38071,1
12031,Duval,FL,5785,33895,0
12041,Gilchrist,FL,2255,17142,0
12043,Glades,FL,731,4892,0
12045,Gulf,FL,2245,15982,0
12049,Hardee,FL,2892,23732,0
12051,Hendry,FL,2459,7860,0
12053,Hernando,FL,12684,68815,1
12061,Indian River,FL,1648,15125,0
12063,Jackson,FL,4370,26095,0
12069,Lake,FL,3717,15505,0
08075,Logan,CO,975,6896,0
08077,Mesa,CO,8688,59616,0
08081,Moffat,CO,2787,21096,0
08087,Morgan,CO,1870,11993,0
08091,Ouray,CO,1196,12069,0
08097,Pitkin,CO,4824,44739,0
08103,Rio Blanco,CO,2638,15033,0
08109,Saguache,CO,20508,119058,2
08119,Teller,CO,8928,167109,4
08121,Washington,CO,4534,53909,1
08125,Yuma,CO,43371,480744,14
09003,Hartford,CT,315,9049,0
09007,Middlesex,CT,4335,89267,1
05015,Carroll,AR,3596,33350,0
05017,Chicot,AR,6223,48744,0
05025,Cleveland,AR,6665,56467,1
05027,Columbia,AR,1960,16314,0
05033,Crawford,AR,2062,24619,0
05045,Faulkner,AR,9832,88585,4
05047,Franklin,AR,3003,28349,0
05053,Grant,AR,2347,19107,0
05059,Hot Spring,AR,238,2128,0
05067,Jackson,AR,637,3050,0
05073,Lafayette,AR,42159,406642,6
05081,Little River,AR,1864,11845,0
05083,Logan,AR,2131,40584,1
05087,Madison,AR,2055,32481,0
15001,Hawaii,HI,5120,150750,5
15007,Kauai,HI,1127,29141,0
16001,Ada,ID,11626,72821,1
16003,Adams,ID,528,5623,0
16009,Benewah,ID,407,3105,0
16017,Bonner,ID,16936,95322,2
16019,Bonneville,ID,4707,51174,0
05089,Marion,AR,4189,31498,1
05091,Miller,AR,2043,15445,0
05093,Mississippi,AR,935,11545,0
05099,Nevada,AR,2575,26210,1
05103,Ouachita,AR,182603,1016687,19
05113,Polk,AR,14397,216966,6
05115,Pope,AR,48179,450134,15
05121,Randolph,AR,3683,54557,0
05133,Sevier,AR,2488,28175,0
05137,Stone,AR,1574,13559,0
13317,Wilkes,GA,4134,33541,0
13321,Worth,GA,1642,13769,0
04005,Coconino,AZ,681,4326,0
04009,Graham,AZ,3813,29400,0
04011,Greenlee,AZ,4861,41195,1
04012,La Paz,AZ,10746,65705,2
04017,Navajo,AZ,3572,28755,0
04021,Pinal,AZ,8331,59018,1
04023,Santa Cruz,AZ,1120,14791,0
04027,Yuma,AZ,1529,25323,0
05003,Ashley,AR,743,3842,0
05013,Calhoun,AR,4073,73679,3
16071,Oneida,ID,5970,79998,1
16077,Power,ID,670,7477,0
16079,Shoshone,ID,5084,46373,0
16083,Twin Falls,ID,5623,76563,1
17003,Alexander,IL,3592,19983,0
17007,Boone,IL,3412,19074,0
17011,Bureau,IL,1252,9702,0
17015,Carroll,IL,441,2407,0
17023,Clark,IL,2873,13710,0
17033,Crawford,IL,2826,17531,0
17037,DeKalb,IL,21614,251698,5
17041,Douglas,IL,9972,142234,6
17043,DuPage,IL,2057,21059,0
18117,Orange,IN,112,1620,0
18121,Parke,IN,19890,274443,4
18127,Porter,IN,12546,74685,1
18135,Randolph,IN,826,6461,0
18137,Ripley,IN,704,5366,0
18141,St. Joseph,IN,3375,65567,1
18149,Starke,IN,1162,20994,0
18151,Steuben,IN,557,6976,0
18159,Tipton,IN,2606,22549,0
18161,Union,IN,1001,14552,0
18167,Vigo,IN,445,6347,0
18169,Wabash,IN,732,5401,0
18175,Washington,IN,3356,56593,0
18181,White,IN,2141,23352,0
19001,Adair,IA,682,7266,0
17047,Edwards,IL,6645,67401,1
17051,Fayette,IL,3846,67383,0
17053,Ford,IL,5054,46579,2
17057,Fulton,IL,719,8130,0
17063,Grundy,IL,7266,51598,2
18055,Greene,IN,2749,49407,1
18057,Hamilton,IN,477,3607,0
18065,Henry,IN,3489,21707,0
18067,Howard,IN,20585,257148,6
18071,Jackson,IN,215,1717,0
18077,Jefferson,IN,1027,9847,0
18087,LaGrange,IN,1375,13181,0
18091,LaPorte,IN,27155,165350,2
18097,Marion,IN,2425,34791,0
18101,Martin,IN,4223,42368,0
18103,Miami,IN,4389,55169,1
18109,Morgan,IN,12599,104569,3
16023,Butte,ID,1138,5870,0
16025,Camas,ID,5646,31466,0
16029,Caribou,ID,12811,104624,1
16033,Clark,ID,1882,9402,0
16041,Franklin,ID,2368,22013,0
16043,Fremont,ID,243,3611,0
16047,Gooding,ID,839,9813,0
16053,Jerome,ID,7185,62317,1
16055,Kootenai,ID,9599,59706,1
16061,Lewis,ID,785,11790,0
16065,Madison,ID,2519,13264,0
16069,Nez Perce,ID,3156,28834,0
18007,Benton,IN,3528,24236,0
18013,Brown,IN,1904,11031,0
18015,Carroll,IN,5060,32129,1
18019,Clark,IN,1868,13207,0
18025,Crawford,IN,891,8030,0
18031,Decatur,IN,1123,19680,0
18035,Delaware,IN,1344,20774,0
18045,Fountain,IN,945,8265,0
13137,Habersham,GA,1602,9650,0
13141,Hancock,GA,5816,49658,1
13147,Hart,GA,2591,16440,0
13155,Irwin,GA,7519,47953,1
13159,Jasper,GA,5412,44178,0
13165,Jenkins,GA,532,2993,0
13171,Lamar,GA,4781,39934,1
13173,Lanier,GA,7035,41681,0
20091,Johnson,KS,5360,32534,1
20097,Kiowa,KS,4354,42147,1
20099,Labette,KS,4732,39059,0
20103,Leavenworth,KS,3300,58568,2
20109,Logan,KS,6642,41256,0
20113,McPherson,KS,13600,80166,3
20119,Meade,KS,3317,24148,0
20125,Montgomery,KS,11989,78699,2
20131,Nemaha,KS,4088,23899,0
20141,Osborne,KS,1533,15454,0
20143,Ottawa,KS,1877,21315,0
20157,Republic,KS,6120,51646,1
20165,Rush,KS,5396,84050,1
20167,Russell,KS,4574,26688,0
20171,Scott,KS,1023,9700,0
20177,Shawnee,KS,727,5203,0
22057,Lafourche,LA,11418,64400,3
22061,Lincoln,LA,2800,22796,0
22063,Livingston,LA,361,3488,0
22069,Natchitoches,LA,7662,53148,1
22075,Plaquemines,LA,2412,17553,0
22079,Rapides,LA,18825,167199,3
22081,Red River,LA,15898,169920,2
22085,Sabine,LA,2581,14940,0
21111,Jefferson,KY,1218,13116,0
21113,Jessamine,KY,18011,102311,3
21123,Larue,KY,19282,155219,3
21129,Lee,KY,18669,126403,2
21135,Lewis,KY,2080,20043,0
21139,Livingston,KY,2051,11098,0
21145,McCracken,KY,2976,26404,0
21153,Magoffin,KY,12244,81185,2
21159,Martin,KY,2617,22200,1
21167,Mercer,KY,4070,36776,1
21171,Monroe,KY,3050,33665,0
21173,Montgomery,KY,1618,18832,0
21179,Nelson,KY,1798,25915,0
19053,Decatur,IA,1264,30837,0
18003,Allen,IN,228,2450,0
13181,Lincoln,GA,1956,16371,0
19061,Dubuque,IA,1034,44537,1
19069,Franklin,IA,402,5789,0
19075,Grundy,IA,270,3586,0
19077,Guthrie,IA,2222,79646,1
19089,Howard,IA,7146,150976,2
19093,Ida,IA,2264,66802,2
19101,Jefferson,IA,15479,207027,5
19103,Johnson,IA,6830,101450,1
19107,Keokuk,IA,1306,26925,0
19111,Lee,IA,1784,27004,0
19127,Marshall,IA,837,10693,0
19129,Mills,IA,982,18582,0
19135,Monroe,IA,1423,20686,0
19139,Muscatine,IA,5636,83832,1
19145,Page,IA,187,5943,0
20181,Sherman,KS,5171,42330,0
19153,Polk,IA,21479,502622,11
19155,Pottawattamie,IA,2948,42725,0
19159,Ringgold,IA,5825,291117,10
19163,Scott,IA,324,6370,0
19171,Tama,IA,1007,12349,0
19177,Van Buren,IA,428,20909,0
19183,Washington,IA,892,23716,0
19189,Winnebago,IA,2056,33066,0
19193,Woodbury,IA,283,3683,0
20003,Anderson,KS,1614,16210,0
20009,Barton,KS,4186,56217,1
20017,Chase,KS,2643,44551,2
20019,Chautauqua,KS,7713,72236,1
13211,Morgan,GA,502,2724,0
27081,Lincoln,MN,1247,24674,0
27089,Marshall,MN,789,25348,0
27091,Martin,MN,2898,84738,1
27095,Mille Lacs,MN,833,19841,0
27097,Morrison,MN,1281,47828,1
27099,Mower,MN,2999,46962,0
27105,Nobles,MN,2017,27493,1
27109,Olmsted,MN,1852,23871,0
27111,Otter Tail,MN,4502,116204,5
27115,Pine,MN,385,6944,0
27117,Pipestone,MN,36,500,0
27119,Polk,MN,10494,194982,8
27129,Renville,MN,642,27819,0
27133,Rock,MN,6011,161564,6
19059,Dickinson,IA,1178,32130,1
27141,Sherburne,MN,26,1246,0
27145,Stearns,MN,599,8120,0
27149,Stevens,MN,599,20882,0
27157,Wabasha,MN,709,7240,0
27163,Washington,MN,2727,42569,1
27171,Wright,MN,2655,98491,3
28005,Amite,MS,4675,22062,0
28009,Benton,MS,6817,33121,0
28011,Bolivar,MS,5233,21424,0
28015,Carroll,MS,1349,5359,0
28021,Claiborne,MS,10821,50104,0
28031,Covington,MS,12416,96071,2
28039,George,MS,8731,47937,0
19149,Plymouth,IA,953,25782,0
28045,Hancock,MS,9289,78727,1
28051,Holmes,MS,889,3237,0
28053,Humphreys,MS,8670,50992,0
28059,Jackson,MS,169395,1197498,28
28067,Jones,MS,2140,19267,0
28073,Lamar,MS,2257,20711,0
23007,Franklin,ME,1821,12506,0
13215,Muscogee,GA,1208,8076,0
13239,Quitman,GA,6036,36170,0
27077,Lake of the Woods,MN,363,3984,0
45031,Darlington,SC,24653,210711,3
45035,Dorchester,SC,4590,28738,0
45037,Edgefield,SC,5379,106672,1
47011,Bradley,TN,13020,105225,1
47017,Carroll,TN,1449,11934,0
47021,Cheatham,TN,870,4862,0
47025,Claiborne,TN,2371,43024,1
47033,Crockett,TN,727,3671,0
47035,Cumberland,TN,5695,83520,2
47041,DeKalb,TN,10262,90337,3
47047,Fayette,TN,4005,33543,0
47049,Fentress,TN,7758,56158,0
47059,Greene,TN,918,5334,0
47061,Grundy,TN,977,14433,0
27137,St. Louis,MN,216,4348,0
23015,Lincoln,ME,973,5933,0
23021,Piscataquis,ME,9054,51198,1
23023,Sagadahoc,ME,48846,384309,10
23031,York,ME,1505,11978,0
28041,Greene,MS,594,5437,0
31149,Rock,NE,2121,28940,1
31151,Saline,NE,49035,470999,7
31155,Saunders,NE,14148,184222,3
31161,Sheridan,NE,5542,32235,0
31169,Thayer,NE,3892,29594,0
31173,Thurston,NE,1908,16047,0
31181,Webster,NE,1158,9043,0
32005,Douglas,NV,3687,16800,0
32007,Elko,NV,23562,186338,3
32013,Humboldt,NV,2533,13593,0
32017,Lincoln,NV,10929,93092,1
32023,Nye,NV,13555,91040,3
23011,Kennebec,ME,7717,51017,1
39105,Meigs,OH,7919,100647,2
39107,Mercer,OH,1526,22178,0
39117,Morrow,OH,1731,25559,0
39119,Muskingum,OH,2098,14729,0
39125,Paulding,OH,8180,113218,3
39129,Pickaway,OH,33767,221223,4
39133,Portage,OH,6904,39206,0
39135,Preble,OH,79,500,0
39139,Richland,OH,5246,56692,1
39141,Ross,OH,14876,214464,4
39149,Shelby,OH,752,4970,0
39151,Stark,OH,3204,26136,1
39157,Tuscarawas,OH,1400,10160,0
39161,Van Wert,OH,1517,7675,0
47065,Hamilton,TN,1315,11764,0
47067,Hancock,TN,5431,100120,2
47071,Hardin,TN,6931,45481,1
47077,Henderson,TN,47446,736454,19
47083,Houston,TN,3185,43764,0
47087,Jackson,TN,1818,16203,0
47095,Lake,TN,129655,1677883,29
47101,Lewis,TN,1267,12416,0
47107,McMinn,TN,987,7534,0
47109,McNairy,TN,5740,65236,1
47111,Macon,TN,4511,27057,0
47119,Maury,TN,937,6485,0
47125,Montgomery,TN,3118,32802,0
47135,Perry,TN,2633,45270,0
47137,Pickett,TN,4664,49327,0
24011,Caroline,MD,2173,12340,0
24013,Carroll,MD,2851,18682,0
24021,Frederick,MD,2474,11408,0
24023,Garrett,MD,1221,17055,0
24031,Montgomery,MD,9659,54724,0
24033,Prince George's,MD,6836,97730,3
24043,Washington,MD,534,7463,0
32031,Washoe,NV,1232,7314,0
32510,Carson City,NV,2445,20080,0
33003,Carroll,NH,1109,9143,0
33009,Grafton,NH,4386,35523,0
33015,Rockingham,NH,2940,20263,0
33019,Sullivan,NH,574,5692,0
34003,Bergen,NJ,4714,59775,0
34009,Cape May,NJ,4707,34289,1
34013,Essex,NJ,2797,30641,0
39167,Washington,OH,3421,21254,0
39171,Williams,OH,1972,20620,0
39175,Wyandot,OH,12379,69146,1
40003,Alfalfa,OK,876,3168,0
40011,Blaine,OK,4746,36184,0
40013,Bryan,OK,8558,53018,0
40017,Canadian,OK,4131,20006,0
40025,Cimarron,OK,2176,11869,0
40029,Coal,OK,2032,11897,0
40035,Craig,OK,21707,109592,1
40039,Custer,OK,4318,21255,0
40045,Ellis,OK,2555,10055,0
40049,Garvin,OK,10052,43658,0
40055,Greer,OK,2984,25303,0
37193,Wilkes,NC,5760,80936,3
47141,Putnam,TN,99,1407,0
48045,Briscoe,TX,15926,111003,2
48049,Brown,TX,40554,188654,6
48055,Caldwell,TX,13486,60202,1
48061,Cameron,TX,1690,8087,0
48065,Carson,TX,2703,17898,0
48067,Cass,TX,1588,11292,0
48073,Cherokee,TX,21245,118789,2
48077,Clay,TX,5361,45788,1
48081,Coke,TX,23285,158687,4
48085,Collin,TX,10528,69585,1
48087,Collingsworth,TX,1416,11476,0
48091,Comal,TX,20467,183300,3
24047,Worcester,MD,2004,30622,0
25007,Dukes,MA,24843,330341,10
25013,Hampden,MA,3364,81884,3
25015,Hampshire,MA,3632,122597,2
25017,Middlesex,MA,2998,55302,2
34017,Hudson,NJ,2737,35000,1
34019,Hunterdon,NJ,33709,536524,17
34021,Mercer,NJ,2990,30624,0
34029,Ocean,NJ,127,1572,0
34033,Salem,NJ,2812,15800,0
34035,Somerset,NJ,22659,185088,8
34041,Warren,NJ,1731,19927,0
35007,Colfax,NM,3296,22956,0
30055,McCone,MT,15688,113446,3
30057,Madison,MT,973,6999,0
37195,Wilson,NC,6230,36590,0
37199,Yancey,NC,2427,13093,0
38005,Benson,ND,8070,56532,1
38009,Bottineau,ND,483,3228,0
38017,Cass,ND,1750,20299,0
38027,Eddy,ND,1380,10128,0
38029,Emmons,ND,19846,143507,5
38037,Grant,ND,2353,39255,0
38039,Griggs,ND,32333,424038,7
38043,Kidder,ND,2739,28935,0
38047,Logan,ND,12175,225015,5
38053,McKenzie,ND,10805,118879,3
38059,Morton,ND,3338,27285,0
38063,Nelson,ND,886,7484,0
47001,Anderson,TN,409,2503,0
47003,Bedford,TN,13159,130448,2
40065,Jackson,OK,2170,20327,0
40071,Kay,OK,1173,8900,0
40083,Logan,OK,2764,18104,0
40085,Love,OK,1633,6792,0
40091,McIntosh,OK,3512,15305,0
40099,Murray,OK,18752,91745,1
40101,Muskogee,OK,23513,148309,3
40107,Okfuskee,OK,12114,60192,1
40111,Okmulgee,OK,4597,30462,0
40117,Pawnee,OK,3151,18054,0
40119,Payne,OK,3532,32975,0
40125,Pottawatomie,OK,4844,22912,0
25021,Norfolk,MA,1411,20741,0
25023,Plymouth,MA,102,1596,0
26003,Alger,MI,3370,32951,0
26005,Allegan,MI,1454,19790,0
26007,Alpena,MI,78384,627129,20
30063,Missoula,MT,1438,10183,0
30065,Musselshell,MT,2854,21710,0
30071,Phillips,MT,1490,21421,0
30077,Powell,MT,1639,14353,0
30083,Richland,MT,1973,10523,0
30087,Rosebud,MT,2734,42224,1
30091,Sheridan,MT,184,1434,0
30097,Sweet Grass,MT,2004,10837,0
30101,Toole,MT,4668,28861,1
38065,Oliver,ND,23988,143578,3
38067,Pembina,ND,1036,13086,0
38071,Ramsey,ND,6717,38727,0
38075,Renville,ND,2491,16085,0
38081,Sargent,ND,5820,39519,1
38089,Stark,ND,1797,24697,0
38093,Stutsman,ND,3185,25157,0
38097,Traill,ND,2141,15434,0
38101,Ward,ND,1739,11026,0
39001,Adams,OH,15989,117490,1
39005,Ashland,OH,15479,190739,4
39011,Auglaize,OH,548,6609,0
39013,Belmont,OH,21139,119340,3
39017,Butler,OH,3151,14917,0
39019,Carroll,OH,3960,24350,0
42003,Allegheny,PA,17121,165133,2
42007,Beaver,PA,6513,68029,1
48361,Orange,TX,58504,348261,16
48369,Parmer,TX,12904,107167,2
48383,Reagan,TX,4907,43688,1
48385,Real,TX,20275,90276,1
48387,Red River,TX,63182,288641,8
48395,Robertson,TX,3495,25130,0
48399,Runnels,TX,1656,10306,0
48403,Sabine,TX,19976,82475,1
48415,Scurry,TX,15792,66909,0
48417,Shackelford,TX,521,3717,0
48419,Shelby,TX,1954,7797,0
48423,Smith,TX,29098,144737,5
48427,Starr,TX,11735,51181,0
48431,Sterling,TX,1884,12544,0
26017,Bay,MI,5739,55664,2
26019,Benzie,MI,2158,16562,0
26021,Berrien,MI,1396,12708,0
26027,Cass,MI,1536,9087,0
26031,Cheboygan,MI,984,17073,0
26033,Chippewa,MI,782,7837,0
30109,Wibaux,MT,3338,39825,0
31007,Banner,NE,1215,9799,0
31011,Boone,NE,77933,457329,13
31013,Box Butte,NE,32891,220741,6
31019,Buffalo,NE,9068,56362,1
31025,Cass,NE,684,11622,0
31029,Chase,NE,1398,10773,0
31033,Cheyenne,NE,4375,70392,1
31039,Cuming,NE,1694,13488,0
31045,Dawes,NE,8006,45411,0
31051,Dixon,NE,2289,38166,0
31057,Dundy,NE,40256,754220,13
31071,Garfield,NE,6962,54930,0
31075,Grant,NE,4085,67492,1
39023,Clark,OH,9451,54262,1
39025,Clermont,OH,1453,7764,0
39029,Columbiana,OH,1197,20222,0
39033,Crawford,OH,1448,19807,0
39037,Darke,OH,10702,70724,2
39041,Delaware,OH,8777,133646,3
39043,Erie,OH,1577,14485,0
39049,Franklin,OH,26377,226134,5
35019,Guadalupe,NM,24961,135325,3
35021,Harding,NM,93323,485859,11
35025,Lea,NM,3837,25368,0
35033,Mora,NM,689,4869,0
35039,Rio Arriba,NM,3731,13824,0
47143,Rhea,TN,11482,129870,5
47147,Robertson,TN,544,7298,0
47149,Rutherford,TN,1981,17161,0
47155,Sevier,TN,3286,44597,1
47161,Stewart,TN,1420,10838,0
47167,Tipton,TN,5640,76154,1
47175,Van Buren,TN,10065,157705,3
47177,Warren,TN,1440,8164,0
45055,Kershaw,SC,4887,27676,0
45061,Lee,SC,9567,94398,2
45065,McCormick,SC,822,5412,0
45071,Newberry,SC,1506,11965,0
45073,Oconee,SC,2407,13213,0
26041,Delta,MI,13507,177329,3
26043,Dickinson,MI,58084,455708,9
26047,Emmet,MI,1709,12830,0
26051,Gladwin,MI,25081,221127,3
26065,Ingham,MI,2994,32886,1
26069,Iosco,MI,13282,119087,2
17131,Mercer,IL,16681,118583,5
13191,McIntosh,GA,2625,17322,0
31079,Hall,NE,2470,12936,0
31081,Hamilton,NE,1487,6811,0
31083,Harlan,NE,99595,623291,12
31087,Hitchcock,NE,707,4983,0
31099,Kearney,NE,1423,7282,0
31101,Keith,NE,3303,20957,0
31105,Kimball,NE,1344,20466,0
31109,Lancaster,NE,1361,13964,0
31115,Loup,NE,2363,16917,0
31119,Madison,NE,16633,97577,2
28091,Marion,MS,1986,17033,0
28097,Montgomery,MS,20466,84534,1
28101,Newton,MS,55833,235936,8
28109,Pearl River,MS,2964,13818,0
28119,Quitman,MS,5655,46867,0
28121,Rankin,MS,5166,23991,0
28129,Smith,MS,13732,78135,3
35041,Roosevelt,NM,1882,10186,0
35043,Sandoval,NM,9840,73311,1
35049,Santa Fe,NM,3711,21987,0
35057,Torrance,NM,8033,76900,2
35061,Valencia,NM,28047,142938,2
36007,Broome,NY,12740,108367,3
36011,Cayuga,NY,1927,15801,0
36013,Chautauqua,NY,8608,61035,1
36019,Clinton,NY,1430,7844,0
36027,Dutchess,NY,5953,78697,2
36033,Franklin,NY,1251,7098,0
36035,Fulton,NY,2216,18209,0
36039,Greene,NY,2993,55825,0
40131,Rogers,OK,8259,38216,0
40135,Sequoyah,OK,1504,7010,0
40137,Stephens,OK,2365,9893,0
40143,Tulsa,OK,47378,263223,5
40145,Wagoner,OK,4208,19329,0
40149,Washita,OK,18332,103022,3
41003,Benton,OR,2214,12726,0
41005,Clackamas,OR,22855,376827,16
41011,Coos,OR,14786,136908,3
41013,Crook,OR,3982,33903,0
41021,Gilliam,OR,1339,11263,0
41027,Hood River,OR,2177,13285,0
26075,Jackson,MI,6935,48985,0
26079,Kalkaska,MI,1495,10953,0
26081,Kent,MI,2782,42348,0
26087,Lapeer,MI,2155,13522,0
26093,Livingston,MI,12916,82540,1
26095,Luce,MI,1654,9012,0
26099,Macomb,MI,3190,24781,0
26101,Manistee,MI,3284,30278,0
26115,Monroe,MI,13998,90912,1
28137,Tate,MS,3716,23330,0
28141,Tishomingo,MS,26942,117194,2
28143,Tunica,MS,12679,61518,1
28153,Wayne,MS,783,5127,0
28155,Webster,MS,6090,35539,0
28157,Wilkinson,MS,13380,65002,1
28163,Yazoo,MS,3133,16405,0
29007,Audrain,MO,680,5201,0
29017,Bollinger,MO,1143,13385,0
29023,Butler,MO,3068,23629,0
29029,Camden,MO,2208,21306,0
29035,Carter,MO,468,6716,0
29041,Chariton,MO,2806,28046,1
29045,Clark,MO,646,5485,0
36041,Hamilton,NY,15462,88232,1
36045,Jefferson,NY,1527,9202,0
36051,Livingston,NY,7425,42233,1
36055,Monroe,NY,5728,33999,0
36059,Nassau,NY,13613,77188,3
36063,Niagara,NY,21280,166618,2
36071,Orange,NY,2686,20324,0
36073,Orleans,NY,4441,30402,0
36075,Oswego,NY,995,15082,0
48435,Sutton,TX,5757,34939,0
48437,Swisher,TX,23942,118342,3
48441,Taylor,TX,735,4078,0
48447,Throckmorton,TX,2475,24181,0
48451,Tom Green,TX,3658,18210,0
48453,Travis,TX,20890,95784,1
48457,Tyler,TX,47884,238424,6
48467,Van Zandt,TX,4484,20840,0
48469,Victoria,TX,1231,4521,0
48477,Washington,TX,4138,21555,0
48483,Wheeler,TX,9295,53399,1
48485,Wichita,TX,6594,50955,0
48489,Willacy,TX,1221,5741,0
48499,Wood,TX,8410,45518,1
49001,Beaver,UT,866,9409,0
49007,Carbon,UT,5768,69606,1
26071,Iron,MI,1104,6456,0
26125,Oakland,MI,851,6943,0
26131,Ontonagon,MI,1609,13557,0
26135,Oscoda,MI,1878,14992,0
26145,Saginaw,MI,9792,164092,5
26147,St. Clair,MI,1475,10913,0
26157,Tuscola,MI,18527,140982,3
29047,Clay,MO,1353,16715,0
29051,Cole,MO,1475,7506,0
29055,Crawford,MO,15895,126901,5
29057,Dade,MO,144,2383,0
29061,Daviess,MO,701,9963,0
29067,Douglas,MO,3353,22699,0
29073,Gasconade,MO,2790,54307,1
29077,Greene,MO,7411,43117,0
29079,Grundy,MO,1937,25829,1
29087,Holt,MO,5599,36685,1
37011,Avery,NC,3753,45053,1
37013,Beaufort,NC,5579,68365,1
37019,Brunswick,NC,1097,7986,0
37025,Cabarrus,NC,1092,10405,0
13223,Paulding,GA,5614,51696,1
36081,Queens,NY,1852,24357,0
36087,Rockland,NY,9924,72538,1
36089,St. Lawrence,NY,2706,13036,0
36093,Schenectady,NY,1285,8316,0
36099,Seneca,NY,1991,14174,0
36103,Suffolk,NY,17519,119822,3
36107,Tioga,NY,1181,21919,0
36117,Wayne,NY,2196,17410,0
42017,Bucks,PA,2809,13999,0
42023,Cameron,PA,1799,34084,0
45079,Richland,SC,8157,53540,2
45083,Spartanburg,SC,8789,108221,1
45085,Sumter,SC,1246,10713,0
45089,Williamsburg,SC,4774,39917,0
46005,Beadle,SD,3136,20441,0
46011,Brookings,SD,4918,81183,1
46019,Butte,SD,4948,42614,0
46023,Charles Mix,SD,6272,54635,1
46033,Custer,SD,2321,16550,0
46039,Deuel,SD,2992,29300,0
46041,Dewey,SD,2794,35577,1
46045,Edmunds,SD,9202,102497,1
46051,Grant,SD,28610,290069,6
46059,Hand,SD,3138,24929,0
26159,Van Buren,MI,5086,45912,1
26163,Wayne,MI,7422,74446,2
27001,Aitkin,MN,269,6340,0
27003,Anoka,MN,8944,118315,4
27011,Big Stone,MN,598,13794,0
27017,Carlton,MN,3119,50049,0
27025,Chisago,MN,1167,21306,0
27035,Crow Wing,MN,1734,26416,0
27037,Dakota,MN,1469,22630,0
27041,Douglas,MN,2266,34621,0
27043,Faribault,MN,787,20295,0
27045,Fillmore,MN,6104,187406,4
27053,Hennepin,MN,1969,36041,1
27059,Isanti,MN,1030,16853,0
37035,Catawba,NC,9497,102800,4
37037,Chatham,NC,1755,11567,0
37039,Cherokee,NC,1365,18331,0
37041,Chowan,NC,6419,38596,1
37047,Columbus,NC,314,4808,0
37059,Davie,NC,2259,16642,0
37061,Duplin,NC,407,4481,0
37065,Edgecombe,NC,604,5277,0
37069,Franklin,NC,1467,11394,0
37071,Gaston,NC,125537,993380,22
37075,Graham,NC,2562,50269,1
37077,Granville,NC,1197,6673,0
37083,Halifax,NC,3574,24507,0
37087,Haywood,NC,17745,125817,2
42027,Centre,PA,1654,10121,0
42029,Chester,PA,970,11230,0
42033,Clearfield,PA,16216,99385,2
42039,Crawford,PA,7296,43146,0
42045,Delaware,PA,6091,53366,0
42049,Erie,PA,7289,67112,2
